genotype,sex,age,which_eye,quadrant,cell_type,animal_id,peak_FR,baseline_FR,min_spikes_ON,min_spikes_OFF,min_size_ON,min_size_OFF,peak_size_ON,peak_size_OFF,peak_spikes_ON,peak_spikes_OFF,half_peak_size,SI
WT,Male,39.1429,Right,DT,HD1,DJID_1036,350,3.16667,0.5,0.5,858,1200,115,115,64.5,26.5,980,NaN
WT,Female,8.2857,Left,DN,HD1,DJID_1385,300,0,0,0,858,30,82,82,61,13.5,858,NaN
WT,Female,8.2857,Left,DN,HD1,DJID_1385,50,3.19444,1.5,1.33333333333333,858,614,115,42,7.16666666666667,6,4453.5,NaN
WT,Female,8.2857,Left,DN,HD1,DJID_1385,100,0,0,0,30,30,160,115,4,1,NaN,NaN
WT,Male,22.7143,Left,DT,HD1,DJID_872,300,3,1.5,0.5,439,30,115,115,49,21,453.423076923077,NaN
WT,Male,23.7143,Right,VT,HD1,DJID_702,333.333333333333,0,1.33333333333333,0,30,30,115,115,35.3333333333333,18.6666666666667,NaN,NaN
WT,Female,19.8571,Right,VT,HD1,DJID_780,366.666666666667,1.66667,3,0,30,59,115,115,58.6666666666667,12,NaN,NaN
WT,Female,46.7143,Left,VT,HD1,DJID_1723,266.666666666667,0,0,0,439,30,115,115,44.6666666666667,5.33333333333333,439,NaN
WT,Female,27.1429,Right,VT,HD1,DJID_2061,133.333333333333,0,0,0,30,30,160,224,14.6666666666667,3.66666666666667,NaN,NaN
WT,Female,68.4286,Right,DN,HD1,DJID_1726,300,0,0,0,858,30,115,160,65,18.3333333333333,858,NaN
WT,Female,30.5714,Left,VT,HD1,DJID_2804,166.666666666667,0,0,0,30,30,115,115,38.6666666666667,5,NaN,NaN
WT,Male,22.7143,Left,VN,HD1,DJID_3149,200,0,0,0,30,30,115,160,29.3333333333333,5.33333333333333,NaN,NaN
WT,Male,22.7143,Left,VN,HD1,DJID_3149,200,1.66667,1,0.666666666666667,439,30,160,115,31.5,7,1052.5,NaN
WT,Female,81.2857,Left,DN,HD1,DJID_2101,100,1.72222,0,0,614,1200,115,82,18.4,4.2,614,NaN
WT,Female,81.2857,Right,DT,HD1,DJID_2101,200,0,0,0,439,30,82,82,36.3333333333333,2.33333333333333,439,NaN
WT,Female,81.2857,Right,DN,HD1,DJID_2101,300,0,0,0,224,30,82,82,55.6666666666667,21.3333333333333,224,NaN
WT,Female,28.5714,Right,VT,HD1,DJID_3081,75,0,0,0,30,30,314,115,6,2,NaN,NaN
WT,Female,28.5714,Right,VT,HD1,DJID_3081,200,0,0,0,30,30,160,224,22,10.3333333333333,NaN,NaN
WT,Female,28.5714,Right,VT,HD1,DJID_3081,133.333333333333,0.111111,0,0,42,30,160,160,13,1.66666666666667,42,NaN
WT,Female,29.1429,Left,VN,HD1,DJID_2064,100,0,0,0,30,30,160,614,5,1.33333333333333,NaN,NaN
